Timestamp,V,B,G,Y,O,R
1/2/2026 10:29:09,1152.41,1136.3,990.65,1266.2,1104.43,1294.35
1/2/2026 10:29:16,461.73,192.93,285.34,235.5,210.51,103.11
1/2/2026 10:29:23,83359.27,66519.91,72447.32,64575.99,65383,60330.92
1/2/2026 10:29:30,401.95,168.81,314.11,232.55,227.47,90.22
1/2/2026 10:29:37,429.93,211.37,653.53,624.72,699.37,540.39
1/2/2026 10:29:44,83359.27,92968.41,75403.16,64575.99,65383,60330.92
1/2/2026 10:31:10,702.13,617.09,525.81,618.81,592.62,787.11
1/2/2026 10:31:52,1881.26,3203.21,4124.82,5340.69,18183.73,23568.04
1/2/2026 10:31:58,1891.44,3396.15,4480.35,5790.01,18855.17,23568.04
1/2/2026 10:32:05,1764.24,3247.19,4441.23,5788.04,18567.83,23568.04
1/2/2026 10:32:12,1640.86,2926.59,3937.28,5152.48,17086.28,23568.04
1/2/2026 10:32:18,1476.77,2665.56,3509.26,4739.61,16753.05,23568.04
1/2/2026 10:32:25,1564.54,2703.87,3515.02,4658.81,16203.33,23568.04
1/2/2026 10:32:31,1514.93,2638.61,3521.92,4686.4,16337.02,23568.04
1/2/2026 10:32:37,1443.7,2503.84,3189.4,4329.7,15902.03,23568.04
1/2/2026 10:32:44,1615.42,2681.17,3431.02,4437.1,14909.34,22968.74
1/2/2026 10:32:50,1366.11,2523.7,3433.33,4546.48,14920.31,21396.37
1/2/2026 10:32:57,1339.4,2444.26,3340.13,4441.05,14868.43,21823.53
1/2/2026 10:33:03,1498.39,2730.82,3677.25,4889.39,16346,23568.04
1/2/2026 10:33:10,1475.5,2672.66,3663.44,4844.06,16124.51,23568.04
1/2/2026 10:33:17,1923.24,3486.94,4746.14,6088.58,18848.18,23568.04
1/2/2026 10:33:23,1093.9,1696.65,2702.71,3418.24,11313.7,17894.44
1/2/2026 10:33:30,2732.22,4018.91,4502.21,5668.81,19229.3,23568.04
1/2/2026 10:33:37,3684.93,5359.5,7082.96,8229.78,22784.03,23568.04
1/2/2026 10:33:43,2437.12,3572.05,4258.29,5306.2,18027.09,23568.04
1/2/2026 10:33:50,5361.4,7329.94,9850.1,10950.38,25516.68,23568.04
1/2/2026 10:33:57,28393.16,22862.27,24372.7,24301.11,25541.62,23568.04
1/2/2026 10:34:04,5408.46,8070.46,12593.08,13854.25,25295.19,23568.04
1/2/2026 10:34:11,4431.58,6861.8,9678.67,10990.78,23706.89,23568.04
1/2/2026 10:34:18,99.21,48.23,56.38,54.2,63.85,31.3
1/2/2026 10:34:24,4343.81,5551.01,3925.77,4847.02,15766.35,23177.71
1/2/2026 10:34:31,1815.12,2769.12,11070.87,11858.88,22105.61,23568.04
1/2/2026 10:34:38,3966.04,4506.92,10484.07,10491.2,24552.92,23568.04
1/2/2026 10:34:45,1932.14,2889.7,3554.14,4467.65,14675.88,22932.84
1/2/2026 10:36:35,2344.26,3587.66,4948.64,6022.56,18140.83,23568.04
1/2/2026 10:36:41,2975.16,4353.71,4894.56,5952.6,17972.22,23568.04
1/2/2026 10:36:48,305.28,95.05,579.89,236.49,376.13,67.2
1/2/2026 10:36:54,24229.97,18467.43,21423.77,20408.91,25413.92,23568.04
1/2/2026 10:37:01,26150.66,21040.78,25738.44,23082.21,25541.62,23568.04
1/2/2026 10:37:08,24448.75,19729.99,14524.9,14286.83,25254.29,23568.04
1/2/2026 10:37:14,6773.3,7806.59,28744.9,25139.65,25541.62,23568.04
1/2/2026 10:37:21,6910.67,7932.85,3948.78,4868.7,16199.34,23295.55
1/2/2026 10:37:27,2523.61,3777.75,4770.3,5805.78,18108.9,23568.04
1/2/2026 10:37:34,32563.99,33418.13,29455.96,25226.37,25541.62,23568.04
1/2/2026 10:37:40,5059.94,6700.08,4640.28,5756.51,18115.88,23568.04
1/2/2026 10:37:47,2116.58,3247.19,3546.08,4598.71,15803.26,23568.04
